id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
233,16.12.2021,Transfer,На столовую ,Илье. Задача со столовой,5,RUB,5,RUB,
234,16.12.2021,Transfer,На столовую ,Копилка,25,RUB,25,RUB,
235,17.12.2021,Transfer,На столовую ,Cash,20,RUB,20,RUB,
236,17.12.2021,Transfer,Cash,Копилка,20,RUB,20,RUB,
237,17.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
238,17.12.2021,Income,Invistitions,Invistitions XD ₽,1.28,RUB,1.28,RUB,
239,18.12.2021,Transfer,Cash,Сбер ₽,2200,RUB,2200,RUB,
240,18.12.2021,Transfer,Сбер ₽,Invistitions XD ₽,1000,RUB,1000,RUB,
241,18.12.2021,Transfer,Сбер ₽,MC serвер,110,RUB,110,RUB,
242,18.12.2021,Transfer,Сбер ₽,PC,350,RUB,350,RUB,
243,18.12.2021,Transfer,Сбер ₽,телефон,200,RUB,200,RUB,
244,18.12.2021,Transfer,Заебала эта ебатория,телефон,250,RUB,250,RUB,
245,20.12.2021,Income,Каким-то образом,Сбер ₽,410,RUB,410,RUB,
246,20.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
247,20.12.2021,Income,Мама,На столовую ,50,RUB,50,RUB,
248,21.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
249,22.12.2021,Transfer,Cash,Сбер ₽,500,RUB,500,RUB,Мама
250,23.12.2021,Transfer,Сбер ₽,Invistitions XD ₽,1000,RUB,1000,RUB,
251,24.12.2021,Transfer,PC,Invistitions XD ₽,550,RUB,550,RUB,
252,26.12.2021,Expenses,Сбер ₽,Игры,89,RUB,89,RUB,Worms reloaded
253,26.12.2021,Expenses,Сбер ₽,Игры,83,RUB,83,RUB,Worms для Кирилла. Хочу
254,27.12.2021,Transfer,телефон,PC,450,RUB,450,RUB,
255,28.12.2021,Income,Мама,Cash,15,RUB,15,RUB,
256,28.12.2021,Transfer,Cash,Копилка,15,RUB,15,RUB,
257,31.12.2021,Income,Родственники,Сбер ₽,1,RUB,1,RUB,
258,02.01.2022,Income,Каким-то образом,Сбер ₽,100,RUB,100,RUB,Отдал 10 Гб интернета папе
259,02.01.2022,Transfer,Сбер ₽,MC serвер,110,RUB,110,RUB,
260,02.01.2022,Transfer,Сбер ₽,PC,10,RUB,10,RUB,Автонакопления
261,06.01.2022,Income,Родственники,Cash,35,RUB,35,RUB,Со сдачи
262,07.01.2022,Transfer,Cash,Копилка,35,RUB,35,RUB,
263,09.01.2022,Transfer,Сбер ₽,PC,20,RUB,20,RUB,Автонакопления
264,10.01.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
265,10.01.2022,Expenses,Сбер ₽,not stonks,14,RUB,14,RUB,
266,10.01.2022,Transfer,На столовую ,Cash,50,RUB,50,RUB,
267,12.01.2022,Expenses,На столовую ,Столовая,70,RUB,70,RUB,
268,13.01.2022,Transfer,Сбер ₽,На столовую ,90,RUB,90,RUB,
269,13.01.2022,Income,Каким-то образом,На столовую ,10,RUB,10,RUB,Давид
270,14.01.2022,Expenses,На столовую ,Столовая,40,RUB,40,RUB,
271,14.01.2022,Transfer,На столовую ,Cash,90,RUB,90,RUB,
272,14.01.2022,Transfer,Cash,Копилка,90,RUB,90,RUB,
273,15.01.2022,Transfer,На столовую ,Cash,100,RUB,100,RUB,
274,16.01.2022,Transfer,Сбер ₽,PC,30,RUB,30,RUB,Автонакопления
275,16.01.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
276,17.01.2022,Income,Каким-то образом,На столовую ,10,RUB,10,RUB,Илья
277,17.01.2022,Transfer,Сбер ₽,На столовую ,90,RUB,90,RUB,Давид
278,17.01.2022,Income,Каким-то образом,На столовую ,10,RUB,10,RUB,Давид
279,17.01.2022,Transfer,На столовую ,Cash,160,RUB,160,RUB,
280,17.01.2022,Transfer,Cash,Копилка,10,RUB,10,RUB,
281,17.01.2022,Income,Invistitions,Invistitions XD ₽,1.35,RUB,1.35,RUB,
282,18.01.2022,Expenses,На столовую ,Столовая,20,RUB,20,RUB,
283,18.01.2022,Transfer,На столовую ,Cash,30,RUB,30,RUB,
284,18.01.2022,Transfer,Cash,Копилка,30,RUB,30,RUB,
285,21.01.2022,Transfer,На столовую ,Cash,150,RUB,150,RUB,
286,22.01.2022,Transfer,Cash,Сбер ₽,400,RUB,400,RUB,
287,22.01.2022,Income,Каким-то образом,Сбер ₽,50,RUB,50,RUB,Сбербанк
288,23.01.2022,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,Бабушка
289,23.01.2022,Transfer,Сбер ₽,PC,40,RUB,40,RUB,Автонакопления
290,24.01.2022,Income,Родственники,Cash,100,RUB,100,RUB,
291,25.01.2022,Income,Мама,На столовую ,250,RUB,250,RUB,
292,28.01.2022,Transfer,На столовую ,Cash,250,RUB,250,RUB,
293,29.01.2022,Expenses,Сбер ₽,not stonks,3.03,RUB,3.03,RUB,Не мог найти мамину карту и решил заплатить своей. Оказалось мамина - в другом месте рюкзака
294,29.01.2022,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,
295,30.01.2022,Transfer,Cash,Сбер ₽,600,RUB,600,RUB,
296,30.01.2022,Transfer,Сбер ₽,PC,50,RUB,50,RUB,Автонакопления
297,30.01.2022,Transfer,Сбер ₽,Cash,65,RUB,65,RUB,
